,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
60,2022-03-18,46.90608286307322,-3.329291602897533,75.97781313387671,46.90608286307322,46.90608286307322,-11.322762723427257,-11.322762723427257,-11.322762723427257,-11.322762723427257,-11.322762723427257,-11.322762723427257,0.0,0.0,0.0,35.58332013964596
61,2022-03-19,46.93688795623352,-0.06877226354593555,79.54866863039257,46.93688795623352,46.93688795623352,-6.292994690323241,-6.292994690323241,-6.292994690323241,-6.292994690323241,-6.292994690323241,-6.292994690323241,0.0,0.0,0.0,40.64389326591028
62,2022-03-20,46.96769304939382,-0.3004348944676257,78.14960000482162,46.96769304939382,46.96769304939382,-7.993102339334799,-7.993102339334799,-7.993102339334799,-7.993102339334799,-7.993102339334799,-7.993102339334799,0.0,0.0,0.0,38.974590710059026
63,2022-03-21,46.99849814255412,16.46337993160546,96.39659897312647,46.99849814255412,46.99849814255412,9.237185694508183,9.237185694508183,9.237185694508183,9.237185694508183,9.237185694508183,9.237185694508183,0.0,0.0,0.0,56.235683837062304
64,2022-03-22,47.02930323571442,16.872893877737045,94.3468149600672,47.02930323571442,47.02930323571442,9.225855506389335,9.225855506389335,9.225855506389335,9.225855506389335,9.225855506389335,9.225855506389335,0.0,0.0,0.0,56.25515874210376
65,2022-03-23,47.06010832887472,15.602863558105728,89.77347234377109,47.06010832887472,47.06010832887472,4.8936479921384946,4.8936479921384946,4.8936479921384946,4.8936479921384946,4.8936479921384946,4.8936479921384946,0.0,0.0,0.0,51.953756321013216
66,2022-03-24,47.0909134226841,11.099402850608383,85.48650422573078,47.0909134226841,47.0909134226841,2.252170560013622,2.252170560013622,2.252170560013622,2.252170560013622,2.252170560013622,2.252170560013622,0.0,0.0,0.0,49.34308398269773
67,2022-03-25,47.12171851649349,-1.9261652430757719,74.34774857756919,47.12171851649349,47.12171851649349,-11.322762723409234,-11.322762723409234,-11.322762723409234,-11.322762723409234,-11.322762723409234,-11.322762723409234,0.0,0.0,0.0,35.798955793084254
68,2022-03-26,47.15252361030287,4.945955773274588,78.77031546593183,47.15252361030287,47.15252361030287,-6.292994690327551,-6.292994690327551,-6.292994690327551,-6.292994690327551,-6.292994690327551,-6.292994690327551,0.0,0.0,0.0,40.85952891997532
69,2022-03-27,47.183328704112256,0.49936830895039513,78.20672367685378,47.183328704112256,47.183328704112256,-7.993102339323744,-7.993102339323744,-7.993102339323744,-7.993102339323744,-7.993102339323744,-7.993102339323744,0.0,0.0,0.0,39.190226364788515
